FID_1,FID_1_1,FID_,FID_base_t,x_s,y_s,x_e,y_e,FID_2,OBJECTID,FID_市界,NAME,ADMINCODE,KIND,CITYCODE,PROVINCENA,FID_gis_os,osm_id,code,fclass,name_1,ref,oneway,maxspeed,layer,bridge,tunnel,road_len
3331,4023,4023,3234,113.3513639950 ,23.1402678078 ,113.3512422120 ,23.1400811760 ,14340,16224,1,,440183,137,440100,4??,972549,348649006,5111,motorway, ,S303,F,0,1,T,F,23.95031303
3332,4079,4079,3233,113.3517822640 ,23.1407609482 ,113.3513639950 ,23.1402678078 ,14340,16224,1,,440183,137,440100,4??,972549,348649006,5111,motorway, ,S303,F,0,1,T,F,40.86855551
3333,3659,3659,6135,113.3357139390 ,23.1379764592 ,113.3358965760 ,23.1380200047 ,14344,16228,1,,440183,137,440100,4??,972743,348684692,5113,primary,天河路, ,F,0,0,F,F,47.59409478
3334,3757,3757,21,113.3374125720 ,23.1385072260 ,113.3373516930 ,23.1384749502 ,14349,16233,1,,440183,137,440100,4??,972748,348684698,5134,secondary_link, , ,F,0,0,F,F,7.130405962
3335,3758,3758,6610,113.3374125720 ,23.1385072260 ,113.3373287350 ,23.1385073792 ,14349,16233,1,,440183,137,440100,4??,972748,348684698,5134,secondary_link, , ,F,0,0,F,F,7.130405962
3336,3770,3770,6615,113.3372219410 ,23.1385476585 ,113.3371910000 ,23.1385724053 ,14350,16234,1,,440183,137,440100,4??,972749,348684699,5114,secondary,五山路, ,F,0,0,F,F,4.156647675
3337,3774,3774,6616,113.3371910000 ,23.1385724053 ,113.3371530720 ,23.1386049617 ,14350,16234,1,,440183,137,440100,4??,972749,348684699,5114,secondary,五山路, ,F,0,0,F,F,4.156647675
3338,3781,3781,6617,113.3371530720 ,23.1386049617 ,113.3371380980 ,23.1386449731 ,14350,16234,1,,440183,137,440100,4??,972749,348684699,5114,secondary,五山路, ,F,0,0,F,F,5.258177923
3339,3790,3790,6618,113.3371380980 ,23.1386449731 ,113.3371151400 ,23.1386850992 ,14350,16234,1,,440183,137,440100,4??,972749,348684699,5114,secondary,五山路, ,F,0,0,F,F,4.98792812
3340,3794,3794,6619,113.3371151400 ,23.1386850992 ,113.3371151380 ,23.1387155870 ,14350,16234,1,,440183,137,440100,4??,972749,348684699,5114,secondary,五山路, ,F,0,0,F,F,3.349819943
3341,3800,3800,6620,113.3371151380 ,23.1387155870 ,113.3371151360 ,23.1387460748 ,14350,16234,1,,440183,137,440100,4??,972749,348684699,5114,secondary,五山路, ,F,0,0,F,F,3.349819943
3342,3806,3806,6621,113.3371151360 ,23.1387460748 ,113.3371151340 ,23.1387823604 ,14350,16234,1,,440183,137,440100,4??,972749,348684699,5114,secondary,五山路, ,F,0,0,F,F,3.349819805
3343,3815,3815,6622,113.3371151340 ,23.1387823604 ,113.3371380860 ,23.1388185039 ,14350,16234,1,,440183,137,440100,4??,972749,348684699,5114,secondary,五山路, ,F,0,0,F,F,4.605439741
3344,3823,3823,6623,113.3371380860 ,23.1388185039 ,113.3371530550 ,23.1388527628 ,14350,16234,1,,440183,137,440100,4??,972749,348684699,5114,secondary,五山路, ,F,0,0,F,F,4.605439741
3345,3836,3836,6624,113.3371530550 ,23.1388527628 ,113.3371909760 ,23.1389194668 ,14350,16234,1,,440183,137,440100,4??,972749,348684699,5114,secondary,五山路, ,F,0,0,F,F,8.280217323
3346,3898,3898,6625,113.3371909760 ,23.1389194668 ,113.3375113200 ,23.1393763987 ,14350,16234,1,,440183,137,440100,4??,972749,348684699,5114,secondary,五山路, ,F,0,0,F,F,8.280217323
3347,3904,3904,6814,113.3374803770 ,23.1394299339 ,113.3373815790 ,23.1392927691 ,14350,16234,1,,440183,137,440100,4??,972749,348684699,5114,secondary,五山路, ,F,0,0,F,F,35.39077975
3348,3912,3912,6626,113.3375113200 ,23.1393763987 ,113.3375642090 ,23.1394926557 ,14350,16234,1,,440183,137,440100,4??,972749,348684699,5114,secondary,五山路, ,F,0,0,F,F,59.83357992
3349,3928,3928,6627,113.3375642090 ,23.1394926557 ,113.3376480360 ,23.1396335465 ,14350,16234,1,,440183,137,440100,4??,972749,348684699,5114,secondary,五山路, ,F,0,0,F,F,13.8580559
